,creator_name,creator_id,backers_count,blurb,is_starred,category.id,category.name,category.parent_id,category.slug,country,currency,goal,spotlight,staff_pick,state,usd_pledged,usd_type,state_num,launched_at_hr,launched_at_day_in_week,launched_at_day_in_month,launched_at_mo,launched_at_yr,deadline_hr,deadline_day_in_week,deadline_day_in_month,deadline_mo,deadline_yr,created_at_hr,created_at_day_in_week,created_at_day_in_month,created_at_mo,created_at_yr,count,success,launched-created,deadline-launched,pledge_perc
10,Andrew Crawley,166516625,40,A coffee shop expanding into the world of roasting!,False,307,Drinks,10.0,food,US,USD,2500.0,True,False,successful,3195.0,international,1,20,2,2,10,2018,1,5,2,11,2018,12,2,12,6,2018,1,True,112,30,127.8
11,Gwen Mathews,658497207,320,Blue Coffee Cafe is a community cafe in downtown Durham seeking a new home to cook up good old-fashioned southern comfort goodness.,False,312,Restaurants,10.0,food,US,USD,35000.0,True,False,successful,36629.0,international,1,19,2,4,11,2014,5,2,25,11,2014,16,7,26,10,2014,1,True,9,20,104.65428571428572
12,Jose Pulido,578114575,40,"Help me get these Day of the Dead Jon Snow Calavera vinyl stickers printed, and get some stickers and/or a T-Shirt for yourself!",False,22,Illustration,1.0,art,US,USD,300.0,True,False,successful,482.0,international,1,24,7,16,11,2014,24,7,30,11,2014,12,4,13,11,2014,1,True,3,14,160.66666666666666
13,Mark Diaz,1568422249,100,Learn how to draw Manga in 12 weeks. Get from Zero (no drawing skills) to Hero (awesome artist).,False,22,Illustration,1.0,art,MX,MXN,140000.0,True,True,successful,9487.18440768,international,1,22,7,28,1,2018,22,7,4,3,2018,10,3,13,12,2017,1,True,46,35,6.776560291200001
14,Bryan Galvin,660693281,18,"Hike Fernandina Beach to Miami Beach, Fl  400 mi. Live-Stream Science Education Environment Surf PlasticSymptom Vlog Blog Documentation",False,360,Video,13.0,journalism,US,USD,1000.0,True,False,successful,1000.0,international,1,2,6,25,3,2017,4,6,8,4,2017,17,7,29,1,2017,1,True,54,14,100.0
15,Gail Dudley and Dominiq Dudley,1456907108,1,Two-day READY publishing mentorship for high school girls. The girl's articles will be published nationally in a special issue of READY,False,49,Periodicals,18.0,publishing,US,USD,7250.0,False,False,failed,1.0,international,0,22,5,14,4,2017,22,7,14,5,2017,20,5,14,4,2017,1,False,0,30,0.013793103448275862
16,Howard,32711121,0,"Traditional Chinese kite FOR KITES LOVER 
FOR APPLE FANS",False,351,Printing,26.0,crafts,CA,CAD,13000.0,False,False,failed,0.0,international,0,2,7,17,8,2014,2,2,16,9,2014,22,3,7,5,2014,1,False,101,30,0.0
17,Jodi Meier,1592720587,12,"An artistic journey, capturing the disappearance of Charlotte's culture and history using photography and prose to guide and educate.",False,45,Art Books,18.0,publishing,US,USD,1000.0,True,False,successful,1000.0,domestic,1,14,4,26,3,2015,14,6,25,4,2015,20,5,13,3,2015,1,True,12,30,100.0
18,Eric Thirteen,1329271602,125,"Double Feature - the often blasphemous, taboo, and science minded film podcast - can't end with Year 5! Let's make more episodes!",False,239,Radio & Podcasts,18.0,publishing,US,USD,7000.0,True,False,successful,8105.65,international,1,16,2,16,4,2013,4,1,20,5,2013,22,7,14,4,2013,1,True,1,33,115.795
19,Bonnie Kate Wolf,1919622401,85,"I am going to hand knit a map of the world, tying us together through hundreds of thousands of stitches.",False,27,Graphic Design,7.0,design,US,USD,900.0,True,True,successful,1675.0,domestic,1,12,3,1,2,2012,12,2,21,2,2012,22,6,28,1,2012,1,True,3,20,186.11111111111111
20,Luis Prado,1564025740,36,Julioh is a unique visual story of discovery and revelation. A darkly funny graphic novel about a young man and advertising.,False,45,Art Books,18.0,publishing,US,USD,17500.0,False,True,failed,1726.0,domestic,0,7,4,28,7,2011,7,1,26,9,2011,4,6,25,6,2011,1,False,33,60,9.862857142857143
21,Sarah,1150371098,0,Artists 4 Israel raised the funds &made it to our third Murality trip.  There is so much to paint we could use some more!,False,53,Public Art,1.0,art,US,USD,100.0,False,False,failed,0.0,international,0,19,1,23,5,2011,19,4,2,6,2011,15,1,23,5,2011,1,False,0,10,0.0
23," Lance, Sur & Macdonald",945189871,35,"The Golden Hour, is a documentary about a young man's pursuit to save lives and empower volunteers on the streets of India.",False,30,Documentary,11.0,film & video,US,USD,2000.0,True,False,successful,2335.0,international,1,4,1,19,9,2011,4,3,19,10,2011,18,3,7,9,2011,1,True,11,30,116.75
25,chivetalkin,530844299,72,Chive Talkin is edgy education.  We replace words with herbs in edgy slogans and graphics.,False,27,Graphic Design,7.0,design,US,USD,4000.0,True,False,successful,5317.0,domestic,1,12,1,2,4,2012,12,3,16,5,2012,5,2,24,1,2012,1,True,69,44,132.925
26,Jeff Stark,1171140405,442,"A spectacular new site-specific work combining sculpture, costumes, music, sound, and theater. On a boat.",False,53,Public Art,1.0,art,US,USD,24000.0,True,True,successful,25740.07,international,1,15,1,25,8,2014,22,5,19,9,2014,18,2,24,6,2014,1,True,61,25,107.25029166666667
27,Ben Putano,2100543993,565,"A stunning, hardback, water-resistant journal for recording cocktail recipes. Space for over 150 drinks, separated by spirit.",False,307,Drinks,10.0,food,US,USD,15000.0,True,True,successful,24745.0,international,1,13,1,31,10,2016,7,2,15,11,2016,4,7,25,9,2016,1,True,36,14,164.96666666666667
28,Scott McKinney,572248321,9,Coffee is best when it's fresh! That's why we're creating a means for you to get your beans 3 days after roasting locking in freshness.,False,307,Drinks,10.0,food,US,USD,55000.0,False,False,failed,272.0,international,0,1,5,12,8,2016,1,2,11,10,2016,11,1,29,2,2016,1,False,164,60,0.49454545454545457
29,Al Halaas,982976652,3,"We make candles from antique glassware designs, plus other candle product i.e. embedded candles and jar candles. Truly works of art!",False,343,Candles,26.0,crafts,US,USD,25000.0,False,False,failed,29.0,international,0,1,2,6,1,2015,1,3,21,1,2015,19,7,4,1,2015,1,False,1,15,0.116
30,Greg Bergman,1689548932,42,Big Like Me: One Man's Quest to Enlarge His Penis. The hysterical and bizarre journey of a small man willing to do anything to be big.,False,30,Documentary,11.0,film & video,US,USD,30000.0,True,False,successful,30135.0,international,1,16,1,30,4,2012,21,3,30,5,2012,6,6,24,3,2012,1,True,37,30,100.44999999999999
31,Trellis,1013477143,18,Engage in shaping Roosevelt Island's rich history through futuristic architectural innovation to its oldest restaurant location!,False,312,Restaurants,10.0,food,US,USD,50000.0,False,False,failed,1850.0,international,0,16,1,19,10,2015,17,2,8,12,2015,24,2,31,3,2015,1,False,201,50,3.6999999999999997
32,Matthew W Kayal,283899618,1,"Three badass short stories   Kuruma Robohime, Suburban Kunoichi, and Luchadoras. Strong women with cool concepts.",False,253,Webcomics,3.0,comics,US,USD,500.0,False,False,failed,1.0,international,0,10,1,28,7,2014,10,3,27,8,2014,3,5,13,6,2014,1,False,45,30,0.2
33,Skull & Heart,1046343998,49,"""Hear Me Roar"" All Female Exhibition Art Book with Artist Interviews & Illustrations.",False,45,Art Books,18.0,publishing,GB,GBP,2000.0,True,False,successful,3700.63441396,domestic,1,15,2,3,11,2015,15,4,3,12,2015,11,4,19,3,2015,1,True,229,30,185.03172069800002
34,OULA Fitness,332873994,17,Help send OULA to Fitness on the Rocks in Colorado to grow our OULA Community not only in the Denver-area but nationwide!,False,257,Workshops,6.0,dance,US,USD,1000.0,True,False,successful,1000.0,international,1,19,5,24,4,2015,19,2,23,6,2015,18,5,17,4,2015,1,True,7,60,100.0
35,Marcy Criner,60405309,41,Horses of Us Oracle Deck is a 40 card deck featuring sacred horses offering a reminder of equine wisdom and intuition.,False,22,Illustration,1.0,art,US,USD,4000.0,True,False,successful,4002.0,international,1,24,3,25,10,2017,1,5,17,11,2017,4,1,23,10,2017,1,True,2,22,100.05
36,Innerface Films,552812570,27,Raw denim shows the life of the wearer. Join us on a trip to both coasts of the United States and discover the people who live for it.,False,30,Documentary,11.0,film & video,US,USD,5000.0,True,False,successful,5600.0,international,1,24,1,3,10,2011,24,3,2,11,2011,14,2,30,8,2011,1,True,34,30,112.00000000000001
37,Sheila Plotkin,1976201443,36,I've used WI open records law to find out whether legislators listen to citizens. The project is enormous. I need help to continue.,False,361,Web,13.0,journalism,US,USD,1000.0,True,False,successful,1184.0,international,1,24,1,6,6,2016,24,3,6,7,2016,22,1,6,6,2016,1,True,0,30,118.39999999999999
38,Ryan Miller,946516734,6,Help me make a difference . I want to walk up to random people and give them a rose and say one positive thing about them.,False,360,Video,13.0,journalism,US,USD,10.0,True,False,successful,41.0,international,1,16,2,6,10,2015,17,4,5,11,2015,2,6,3,10,2015,1,True,3,30,409.99999999999994
39,"Dina Benadon, Brent Young",1697478835,838,"Saving Walt and Roy Disney's Birthplace home is important for generations to come; let's restore, Landmark, and preserve it forever.",False,53,Public Art,1.0,art,US,USD,500000.0,False,True,failed,111138.01,international,0,23,3,4,12,2013,23,1,6,1,2014,20,3,30,10,2013,1,False,35,33,22.227601999999997
40,Roberto Calvo,751475239,0,"A live stream transmission, walking from France to Santiago",False,360,Video,13.0,journalism,IT,EUR,1000.0,False,False,failed,0.0,international,0,17,5,9,10,2015,18,2,8,12,2015,22,3,7,10,2015,1,False,1,60,0.0
41,empire,740946790,0," a publication based in D.C thats all about Art and Design, Help us make a D.C a Design innovative city filled with inspiration ",False,27,Graphic Design,7.0,design,US,USD,2000.0,False,False,failed,0.0,domestic,0,5,7,15,8,2010,5,7,19,9,2010,20,5,13,8,2010,1,False,1,35,0.0
42,Dean Fidelman,661456080,224,"Support the Stone Nudes community project now and receive the 15th annual calendar, prints, and/or the book as thanks from Dean.",False,276,Fine Art,15.0,photography,US,USD,8500.0,True,False,successful,10839.0,international,1,8,5,13,6,2014,8,7,13,7,2014,22,5,6,6,2014,1,True,6,30,127.51764705882354
43,Toriano Fredericks,1644350949,123,"Help us launch a food truck in the Triangle featuring bold flavors mixing Southern Soul, Caribbean Flair and Euro-African Roots",False,311,Food Trucks,10.0,food,US,USD,15000.0,True,False,successful,18000.0,domestic,1,4,1,17,8,2015,4,3,16,9,2015,21,4,18,6,2015,1,True,59,30,120.0
44,C. Casey Gardiner,1694281157,18,Help us restore a mysterious journal from two brothers who stumbled upon a doorway to an alien world. (It's a nintendo parody novel.),False,328,Young Adult,18.0,publishing,US,USD,150.0,True,False,successful,460.0,international,1,5,5,23,12,2016,5,6,21,1,2017,16,7,17,7,2016,1,True,158,28,306.6666666666667
45,wizzard,1840819358,125,"The Mayan TRIcycle is my version of the Mayan Calendars, expressed using a treadwheel within a larger wheel rotating under human power.",False,53,Public Art,1.0,art,US,USD,4000.0,True,False,successful,4378.0,international,1,21,1,9,4,2012,21,4,24,5,2012,18,6,17,3,2012,1,True,23,45,109.45
46,BLEAK! Comedy,394822326,54,"BLEAK! is filming a documentary of our trip to Austin, Texas and performing your dares along the way.",False,30,Documentary,11.0,film & video,US,USD,2000.0,True,False,successful,2105.47,international,1,16,2,19,4,2011,16,7,1,5,2011,19,7,17,4,2011,1,True,1,12,105.2735
48,Michael Girón,1460238429,24,"Let's snap colorful Op Art into a growing street gallery of murals and transform a worn neighborhood in Omaha, NE!",False,53,Public Art,1.0,art,US,USD,1500.0,True,False,successful,1511.0,international,1,15,1,5,8,2013,15,3,4,9,2013,19,4,2,5,2013,1,True,94,30,100.73333333333335
49,Konda Kaiser,491506244,0,Konnie's Edibles currently selling sweets and treats. Cakes to Candies with my incredible candybar brownies. It needs a home.,False,312,Restaurants,10.0,food,US,USD,7000.0,False,False,failed,0.0,international,0,2,2,1,9,2015,2,4,1,10,2015,17,6,29,8,2015,1,False,2,30,0.0
51,Anthony Christou,1469835456,215,"A 100 page Artbook featuring the work of Anthony Christou over the last 5 years. Art from the genres of fantasy, myths, horror & more.",False,45,Art Books,18.0,publishing,AU,AUD,5000.0,True,False,successful,11977.13169458,domestic,1,7,1,29,5,2017,15,4,6,7,2017,3,2,9,5,2017,1,True,20,38,239.54263389160002
52,CAMpanion,1929112791,1454,"Missed our Kickstarter campaign? 
Get your CAMpanion at www.campanion.me",False,333,Camera Equipment,16.0,technology,US,USD,28000.0,True,True,successful,60130.0,international,1,20,2,27,1,2015,19,6,28,3,2015,17,3,29,10,2014,1,True,90,59,214.75
53,Aero Zero,754615940,106,"Two beautiful comic books about gay men, demons and monsters in original sexy stories! Fun, kinky, colorful, consensual bara smut!",False,253,Webcomics,3.0,comics,US,USD,5000.0,True,False,successful,7066.0,international,1,24,3,5,4,2017,24,5,5,5,2017,2,4,19,1,2017,1,True,76,30,141.32
56,Ellen Zweig,1635305207,72,Amazing Z’EV - wild style punk era scrap metal music - extraordinary range of acoustic phenomena - trance-inducing sounds.,False,30,Documentary,11.0,film & video,US,USD,5000.0,True,False,successful,5075.0,international,1,22,4,16,6,2011,22,6,16,7,2011,20,7,12,6,2011,1,True,4,30,101.49999999999999
57,Ryan Hill,1458644716,1,I want to take you on a Journey around my home country. Through funding I will create personal memories for each and every one of you!,False,45,Art Books,18.0,publishing,GB,GBP,3000.0,False,False,failed,8.4378644,domestic,0,9,3,7,5,2014,9,5,6,6,2014,14,4,1,5,2014,1,False,5,30,0.28126214666666666
59,emily,1810426769,109,"St Lou Fringe features a 5 day pressure cooker festival of performing arts, connecting brave artists with bold audiences.",False,53,Public Art,1.0,art,US,USD,5000.0,True,True,successful,5263.37,international,1,16,6,28,4,2012,4,5,1,6,2012,3,5,9,12,2011,1,True,141,33,105.2674
60,john deming,1832189472,3,Patrick Suchaiya's original artwork ranges from capturing the natural beauty of women to fantastical creations from his imagination.,False,45,Art Books,18.0,publishing,US,USD,8500.0,False,False,failed,56.0,domestic,0,21,2,29,5,2012,21,4,28,6,2012,21,2,22,5,2012,1,False,6,30,0.6588235294117647
61,Jason Kelloway,397896865,65,"Coffee with a purpose to empower people through employment
PEOPLE.COFFEE.EMPOWERMENT.",False,307,Drinks,10.0,food,US,USD,14500.0,True,False,successful,15130.0,international,1,22,1,9,11,2015,22,3,9,12,2015,1,5,26,6,2015,1,True,136,30,104.34482758620689
62,Kirstyn Smith,27121628,136,"Marbles is a new indie print magazine exploring, dissecting and exploding the stigma of mental health.",False,359,Print,13.0,journalism,GB,GBP,2100.0,True,True,successful,3410.51898985,international,1,11,5,24,2,2017,10,7,26,3,2017,23,4,23,2,2017,1,True,0,29,162.40566618333332
63,T&R Delicatessen,363262441,8,"We're looking to create Joplin, Missouri's only authentic delicatessen, with fresh and creative daily specials.",False,312,Restaurants,10.0,food,US,USD,30000.0,False,False,failed,472.38,international,0,17,2,22,3,2016,17,6,21,5,2016,23,1,21,3,2016,1,False,0,60,1.5746
64,Mike Emery,1852051859,9,Perfect for Christmas: Any name or word hand-doodled + name your own doodle creature,False,22,Illustration,1.0,art,GB,GBP,10.0,True,False,successful,167.22674388,international,1,14,4,2,11,2017,22,4,23,11,2017,14,2,31,10,2017,1,True,2,21,1672.2674387999998
65,Michael Donnells,2022266300,0,The Land Of Confusion Show is a multi media program that will focus on topics from ancient aliens to the zombie apocalypse.,False,239,Radio & Podcasts,18.0,publishing,US,USD,1793.0,False,False,failed,0.0,international,0,19,7,24,7,2016,19,4,22,9,2016,18,7,24,7,2016,1,False,0,60,0.0
66,The Bushwick News,160540664,350,"BushwickBK was Bushwick's main source of local news. Let's bring it back as The Bushwick News, better than ever!",False,49,Periodicals,18.0,publishing,US,USD,40000.0,False,True,failed,17843.0,international,0,4,1,13,2,2012,3,5,13,4,2012,19,3,16,11,2011,1,False,88,59,44.6075
67,Matthias J. Johnson,2057319300,4,This is a Christian thriller movie called 'God Directed'.  Over 200 people have been involved.  Filmed in over 10 states & 2 provinces.,False,298,Movie Theaters,11.0,film & video,CA,CAD,25000.0,False,False,failed,93.24088301,domestic,0,1,3,7,9,2016,1,5,7,10,2016,4,1,18,7,2016,1,False,50,30,0.37296353204
68,Catherine Slye,1951425934,32,"Nightlight, a self-portrait photography series explored through the lens of community. 40 photo shoots in 40 hosted guest bedrooms.",False,276,Fine Art,15.0,photography,US,USD,6600.0,True,False,successful,6602.0,international,1,18,1,4,9,2017,20,6,28,10,2017,23,7,6,8,2017,1,True,28,54,100.03030303030303
69,Criss Cheatham,1993593612,26,"Missed opportunities, fights, drumset dives, breakdowns, 10 yrs with the hardest working rock band you've never heard of.",False,30,Documentary,11.0,film & video,US,USD,1000.0,True,False,successful,1652.0,international,1,18,2,19,6,2012,18,4,19,7,2012,18,3,30,5,2012,1,True,19,30,165.2
70,CåveLabs,96238571,27,The LytBox Uno is a highly mobile and ultra-versatile LED fixture designed for the agile Indie and ENG Filmmaker.,False,333,Camera Equipment,16.0,technology,US,USD,10000.0,False,True,failed,2675.0,international,0,13,3,26,11,2014,13,6,27,12,2014,19,3,24,9,2014,1,False,62,31,26.75
71,Slant Robotics,254771949,34,"An Arduino robotics kit for your pool, pond, or tub. Build it, control it, reprogram it.",False,338,Robots,16.0,technology,US,USD,3000.0,True,True,successful,3039.0,domestic,1,15,1,9,7,2018,15,3,8,8,2018,15,4,28,6,2018,1,True,11,30,101.29999999999998
72,Melissa Washburn,1848204686,70,A coloring book featuring fun facts + hand-drawn illustrations of some of the migratory bird species that can be seen in Northwest IN.,False,22,Illustration,1.0,art,US,USD,500.0,True,False,successful,1863.0,international,1,14,5,1,3,2013,23,7,31,3,2013,20,1,11,2,2013,1,True,17,30,372.6
73,Matt Bradfield,252451467,0,Creating a collection to start a gallery on phillip island to showcase my work.,False,276,Fine Art,15.0,photography,AU,AUD,8000.0,False,False,failed,0.0,international,0,14,6,14,3,2015,14,1,13,4,2015,3,6,14,3,2015,1,False,0,30,0.0
74,Whale Magazine,750044433,49,"An eclectic magazine full of rampant opinions, amazing photography and delicious literature.",False,49,Periodicals,18.0,publishing,US,USD,2500.0,True,False,successful,2620.0,international,1,2,3,21,12,2011,23,6,7,1,2012,2,3,21,12,2011,1,True,0,17,104.80000000000001
75,Alonzo Romero,1298060298,42,We removed all the complexity of creating a perfume to allow you the pleasure of creating one like you: unique.,False,345,DIY,26.0,crafts,FR,EUR,2000.0,True,True,successful,2473.876594156,international,1,18,3,16,11,2016,18,3,14,12,2016,19,6,5,11,2016,1,True,10,28,123.6938297078
76,Meghan Thompson,1340409483,0,"A handmade business to add value, old world style, & a personal touch to every creation made and sold. Beautiful decor to love, always.",False,345,DIY,26.0,crafts,US,USD,1800.0,False,False,failed,0.0,international,0,23,3,11,5,2016,23,5,10,6,2016,22,3,11,5,2016,1,False,0,30,0.0
77,Shaun McMillan,1727911009,9,"Design, publish, and distribute a booklet to promote the world's fastest growing bible study!",False,45,Art Books,18.0,publishing,US,USD,2000.0,False,False,failed,595.0,domestic,0,17,5,6,6,2014,2,1,21,7,2014,2,7,9,2,2014,1,False,117,44,29.75
78,Robert Longpre,160223204,2,Captain Naked and Nude Man. Law enforcement from the planet Boxisaxia. On the hunt for their planets most desperate criminals,False,253,Webcomics,3.0,comics,CA,CAD,15000.0,False,False,failed,22.036070000000002,international,0,16,4,21,4,2016,16,1,20,6,2016,3,3,23,3,2016,1,False,29,60,0.14690713333333336
79,Tom Twitchel,2089492090,0,Think 'Odd Thomas' as written by John Green. An urban fantasy and supernatural adventure when you're still trying to figure out life.,False,328,Young Adult,18.0,publishing,US,USD,5000.0,False,False,failed,0.0,international,0,23,3,22,7,2015,23,5,21,8,2015,21,3,22,7,2015,1,False,0,30,0.0
80,Amaranthine Books,1429244585,40,Elegantly illustrated new edition of the cult classic that’s made for the ages.,False,27,Graphic Design,7.0,design,US,USD,55000.0,False,False,failed,3397.0,domestic,0,15,4,10,12,2015,15,6,9,1,2016,11,3,26,8,2015,1,False,106,30,6.176363636363636
81,Simon,1791781369,1,"As both a photography and a gamer, i'm looking to show video games throughout the ages, from retro to modern.",False,276,Fine Art,15.0,photography,GB,GBP,3000.0,False,False,failed,72.3749255,international,0,2,2,22,3,2016,2,6,21,5,2016,2,2,22,3,2016,1,False,0,60,2.4124975166666665
82,the mugaritz kid / ni lenette,1127997290,0,The Mugaritz kid is fiercely staging for the second year until 2016 at Mugaritz 2 star michelin restaurant in Spain In need of support.,False,312,Restaurants,10.0,food,GB,GBP,6000.0,False,False,failed,0.0,international,0,14,3,15,4,2015,19,6,2,5,2015,19,4,2,4,2015,1,False,12,17,0.0
83,Nick Ruiz,1783211618,0,"Turning Southern BBQ into a Nationwide Craze One Restaurant at a Time! Our goal is to be ""The Brand of BBQ"" in the QSR Industry.",False,312,Restaurants,10.0,food,US,USD,25000.0,False,False,failed,0.0,international,0,4,5,27,5,2016,4,6,11,6,2016,4,5,27,5,2016,1,False,0,14,0.0
85,Q2 Music,360158095,293,"""Meet The Composer"" is a radio show from Q2 Music that mines the brains of today’s most dynamic composers.",False,239,Radio & Podcasts,18.0,publishing,US,USD,8000.0,True,True,successful,16060.77,international,1,19,1,25,11,2013,23,5,20,12,2013,23,2,22,10,2013,1,True,33,25,200.75962500000003
86,Angela Evans,1431351929,1,"This is a Movie Written about a true life story That Covers the emotional Stress that is Triggered by ""Parental Alienation""",False,298,Movie Theaters,11.0,film & video,US,USD,8000.0,False,False,failed,1.0,domestic,0,20,4,28,9,2017,21,1,27,11,2017,13,3,27,9,2017,1,False,1,60,0.0125
87,Jennie Louise whitham,2125355482,54,"A Small collection of mugs, matching coasters and pocket mirrors designed by JLWIllustration and manufactured in the United Kingdom.",False,22,Illustration,1.0,art,GB,GBP,475.0,True,False,successful,877.49037552,international,1,23,1,24,2,2014,1,2,25,3,2014,10,2,18,2,2014,1,True,6,28,184.73481589894737
90,Moot Magazine,1999555811,0,Help up fund our upcoming issue! We are fully reader funded and take no advertising! Support LIBERAL media!,False,49,Periodicals,18.0,publishing,US,USD,10000.0,False,False,failed,0.0,international,0,23,5,22,6,2012,18,5,20,7,2012,1,4,21,6,2012,1,False,1,27,0.0
92,Tracy and Mallory Caywood,1788975743,15,"We're combining the love of cats with the love of coffee and cupcakes to open a Cat Cafe in Jacksonville, Florida!",False,312,Restaurants,10.0,food,US,USD,22000.0,False,False,failed,492.0,international,0,18,1,30,1,2017,17,4,16,3,2017,16,4,17,11,2016,1,False,74,44,2.2363636363636363
93,eric,1552692905,0,"On a fixed income? Learn the best places to eat, resorts to stay, activities to enjoy, all without breaking the bank.",False,312,Restaurants,10.0,food,CA,CAD,10000.0,False,False,failed,0.0,international,0,21,5,20,3,2015,21,7,19,4,2015,17,4,19,3,2015,1,False,1,30,0.0
94,Shawn Peterson,2126389442,4,My son Ethan will be 3 years old in July. Beginning of last year we discovered that there's a massive tumor growing on his hypothalamus,False,358,Photo,13.0,journalism,US,USD,2500.0,False,False,failed,50.0,international,0,20,3,13,5,2015,20,2,30,6,2015,19,3,13,5,2015,1,False,0,47,2.0
95,SDS Company (deleted),1206117568,224,DIY. YOUR TRUSTED DRIVING PARTNER.,False,337,Gadgets,16.0,technology,US,USD,5000.0,True,False,successful,23333.0,domestic,1,21,3,27,1,2016,21,5,26,2,2016,22,3,20,1,2016,1,True,6,30,466.65999999999997
96,Daniel Carpenter,1113177646,1,I will be drawing a tree after learning to draw a tree.,False,22,Illustration,1.0,art,GB,GBP,10.0,True,False,successful,17.0350206,international,1,15,5,25,7,2014,15,7,24,8,2014,17,3,23,7,2014,1,True,1,30,170.350206
97,Eric Kohlhepp,435311866,0,"Hand made vintage barn wood wallboards. 100% reclaimed lumber from barns all over Central NY. Easy to install, diy and lightweight.",False,345,DIY,26.0,crafts,US,USD,10000.0,False,False,failed,0.0,international,0,19,6,8,7,2017,19,1,7,8,2017,3,5,9,6,2017,1,False,29,30,0.0
98,Crazy Miwok Fry Bread,1264342397,2,"Native American food from OLD Tradition into  New Tradition, there is not a Native American Restaurant in Sacramento, Ca..",False,312,Restaurants,10.0,food,US,USD,500000.0,False,False,failed,75.0,international,0,17,5,18,7,2014,8,1,15,9,2014,21,4,3,7,2014,1,False,14,58,0.015
99,Keith Thomas,489072036,0,I'm on a quest to make the best beer in the area,False,307,Drinks,10.0,food,US,USD,500.0,False,False,failed,0.0,international,0,17,1,14,7,2014,17,3,13,8,2014,24,2,8,7,2014,1,False,5,30,0.0
100,CCHD Designs,1936743984,3,"Give your PC case the look it deserves, so you can show it off instead of hiding it away!",False,27,Graphic Design,7.0,design,GB,GBP,2000.0,False,False,failed,1417.16625642,domestic,0,11,4,2,3,2017,10,1,27,3,2017,10,2,28,2,2017,1,False,2,24,70.858312821
